title,episodes,score,num_votes,air_start,air_end,genres,producers,studios,status
Fune wo Amu,11.0,7.74,10716,2016-10-14,2016-12-23,"['Slice of Life', 'Drama', 'Romance']","['Aniplex', 'Dentsu', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting Corporation', 'Kobunsha']",['Zexcs'],Finished Airing
Black Jack (TV),61.0,7.74,5172,2004-10-11,2006-03-06,['Drama'],['Yomiuri Telecasting Corporation'],['Tezuka Productions'],Finished Airing
R.O.D the TV,26.0,7.64,20764,2003-09-01,2004-03-16,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Super Power']","['Aniplex', 'Studio Deen', 'Broccoli', 'Sony Music Entertainment']",['J.C.Staff'],Finished Airing
Perrine Monogatari,53.0,7.64,414,1978-01-01,1978-12-31,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']",['Bandai Visual'],['Nippon Animation'],Finished Airing
Patalliro!,49.0,7.64,414,1982-04-09,1983-05-13,"['Adventure', 'Comedy', 'Romance', 'Shoujo', 'Shounen Ai']",[],['Toei Animation'],Finished Airing
Nijuu Mensou no Musume,22.0,7.64,8133,2008-04-13,2008-09-28,"['Action', 'Adventure', 'Mystery']","['PRA', 'Sakura Create', 'Fuji Pacific Music Publishing']","['Bones', 'Telecom Animation Film']",Finished Airing
Marmalade Boy,76.0,7.64,10700,1994-03-13,1995-09-03,"['Comedy', 'Drama', 'Romance', 'Shoujo']",['Asahi Broadcasting Corporation'],['Toei Animation'],Finished Airing
Little Busters!,26.0,7.64,55599,2012-10-06,2013-04-06,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'School']","['Warner Bros.', 'Showgate']",['J.C.Staff'],Finished Airing
Hokuto no Ken 2,43.0,7.64,5146,1987-03-12,1988-02-18,"['Action', 'Drama', 'Martial Arts', 'Super Power']",[],['Toei Animation'],Finished Airing
Bishoujo Senshi Sailor Moon SuperS,39.0,7.64,31126,1995-03-04,1996-03-02,"['Drama', 'Magic', 'Romance', 'Shoujo']",['TV Asahi'],['Toei Animation'],Finished Airing
Flying Witch,12.0,7.64,40606,2016-04-10,2016-06-26,"['Comedy', 'Magic', 'Shounen', 'Slice of Life', 'Supernatural']","['VAP', 'Kodansha', 'Magic Capsule', 'Nippon Television Network Corporation', 'RAB Aomori Broadcasting Corporation', 'Nippon Television Music Corporation']",['J.C.Staff'],Finished Airing
Acchi Kocchi (TV),12.0,7.64,63149,2012-04-06,2012-06-29,"['Comedy', 'Romance', 'School', 'Seinen', 'Slice of Life']","['Pony Canyon', 'TBS', 'DAX Production', 'BS-TBS', 'Jumondo', 'Houbunsha']",['AIC'],Finished Airing
Owari no Seraph,12.0,7.65,183990,2015-04-04,2015-06-20,"['Action', 'Drama', 'Shounen', 'Supernatural', 'Vampire']","['Rakuonsha', 'NBCUniversal Entertainment Japan']",['Wit Studio'],Finished Airing
Jigoku Sensei Nube,49.0,7.65,2885,1996-04-13,1997-06-21,"['Adventure', 'Comedy', 'Horror', 'Romance', 'School', 'Shounen', 'Supernatural']",[],['Toei Animation'],Finished Airing
"Yondemasu yo, Azazel-san. Z",13.0,7.65,11961,2013-04-07,2013-06-30,"['Comedy', 'Demons', 'Supernatural']",[],['Production I.G'],Finished Airing
Fushigi no Umi no Nadia,39.0,7.65,9150,1990-04-13,1991-04-12,"['Adventure', 'Comedy', 'Historical', 'Romance', 'Sci-Fi']","['NHK', 'Sogo Vision']",['Gainax'],Finished Airing
Minami-ke Okaeri,13.0,7.65,25134,2009-01-05,2009-03-30,"['Slice of Life', 'Comedy', 'School']",[],['Asread'],Finished Airing
Mugen no Ryvius,26.0,7.59,7493,1999-10-06,2000-03-29,"['Drama', 'Mecha', 'Military', 'Psychological', 'Sci-Fi', 'Space']","['TV Tokyo', 'Bandai Visual', 'Yomiko Advertising']",['Sunrise'],Finished Airing
Hakkenden: Touhou Hakken Ibun,13.0,7.57,24614,2013-01-06,2013-03-31,"['Action', 'Supernatural', 'Fantasy', 'Shoujo']","['Bandai Visual', 'Frontier Works', 'Lantis', 'Movic', 'DAX Production', 'Sony PCL']",['Studio Deen'],Finished Airing
