title,score,stdev,num_votes,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
Personal Computer Travel Tanteidan,6.200980392156863,2.0872627303475446,204,7,5,5,18,34,49,37,17,18,14
Maido! Urayasu Tekkin Kazoku,6.042553191489362,2.004860549175117,94,4,3,6,5,9,24,20,16,7,0
Baku Tech! Bakugan Gachi,6.1521739130434785,2.2674742277434956,322,12,11,23,21,43,65,67,33,14,33
Piano,6.032967032967033,1.8104875012412283,2366,51,46,91,218,424,563,539,262,101,71
Oh! Super Milk-chan,5.7710084033613445,2.391353435197362,1428,91,81,88,139,204,235,251,153,103,83
Stitch!,5.885321100917431,2.0801960779172415,1090,38,42,64,104,171,230,232,109,46,54
Nessa no Haou Gandalla,5.910112359550562,2.009194871663561,89,2,2,6,9,19,17,18,7,3,6
Samurai Gun,5.984894259818731,1.836952414492287,1986,38,57,99,186,311,465,475,214,99,42
Lime-iro Senkitan,6.035056967572305,1.9692192541462168,2282,52,87,108,208,341,489,506,280,141,70
Mighty Orbots,5.848101265822785,1.669447021271966,79,2,1,4,6,20,13,22,9,2,0
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,5.929577464788732,1.9963190761916554,923,28,32,46,89,149,199,208,94,40,38
High Score,5.770094134685011,1.9070555547856318,2762,75,115,136,286,489,665,557,273,98,68
Fuuun Ishin Dai☆Shogun,5.584465719579987,2.0674541031698075,6476,258,338,417,791,1074,1406,1187,563,223,219
Minna Atsumare! Falcom Gakuen,5.731631863882444,2.070280300686,1293,45,54,82,134,239,292,226,106,51,64
Futari wa Milky Holmes,5.732645775485918,2.0611249641112184,2521,120,95,145,246,405,566,499,272,97,76
Jikuu Tenshou Nazca,5.778061224489796,1.8039718979231525,784,13,32,35,96,138,186,165,78,31,10
Oshiri Kajiri Mushi (TV) 4th Season,4.9734513274336285,2.1716605000038562,113,10,6,8,21,22,24,10,5,2,5
Sparrow's Hotel,5.459942211715261,1.903340708935527,3807,121,202,266,419,801,886,665,285,89,73
Peeping Life,5.319018404907975,2.1144324047706715,489,35,30,22,56,107,93,77,45,16,8
Makura no Danshi,4.7582794434646285,2.3663299597990735,10206,1118,963,1080,1381,1792,1668,1000,499,255,450
KochinPa!,4.51063829787234,2.319871056812296,235,27,29,23,28,60,34,10,7,6,11
Papillon Rose,4.813461538461539,2.238176528247411,520,39,55,56,79,94,80,68,19,8,22
Ame-iro Cocoa: Rainy Color e Youkoso!,4.877104980293802,2.025177160771848,2791,162,231,290,414,661,482,331,103,46,71
Barnacle Lou,5.857142857142857,1.5518257844571737,7,0,0,1,0,2,1,2,1,0,0
Bakujuu Gasshin Ziguru Hazeru,4.833333333333333,2.8674417556808756,24,3,4,2,3,3,2,2,2,0,3
Bakuhatsu Gorou,5.038461538461538,1.7426939629552602,26,0,2,5,3,4,5,6,1,0,0
Backstage Idol Story,4.794117647058823,2.6209496680840245,34,5,3,3,4,7,4,2,2,2,2
Ba La La Xiao Mo Xian Zhi: Qiji Wubu,5.117647058823529,3.2698687316911283,17,2,4,2,0,1,2,1,1,1,3
Cofun Gal no Coffy (TV),7.181818181818182,1.7486712783337586,11,0,0,0,0,2,4,0,1,3,1
CoCO & NiCO,4.529411764705882,1.973877851242649,17,3,0,0,5,3,4,1,1,0,0
Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,5.48,2.499919998719959,25,2,0,4,1,8,4,0,2,1,3
Chou Zenmairobo: Patrasche,4.5,2.421855614066333,26,2,4,5,3,4,2,4,0,0,2
Futago no Monchhichi,4.857142857142857,0.989743318610787,7,0,0,1,1,3,2,0,0,0,0
Fushigi no Yappo Shima: Pukipuki to Poi,6.0,3.03315017762062,5,0,1,1,0,0,0,1,1,0,1
Funassyi no Funafunafuna Biyori,6.076923076923077,2.4949653446502853,13,1,0,1,1,3,0,4,1,0,2
Funny Pets 2nd Season,3.933333333333333,2.8627880738111853,15,5,2,1,0,2,1,3,0,0,1
Fushigina Ano Ko wa Sutekina Kono Ko,4.0,3.0,2,1,0,0,0,0,0,1,0,0,0
Fuku-chan,5.0,2.6832815729997477,5,0,2,0,0,1,0,0,2,0,0
Hanasaka Tenshi Tenten-kun,6.782608695652174,2.264211576746354,23,2,0,0,0,2,5,5,4,3,2
